date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4,Month,Weekday,WeekOfYear,Median_active_power,Lagged_active_power,median_residual
2006-12-16,1209.1760000000004,34.921999999999976,236.24376262626282,5180.800000000008,0.0,546.0,4926.0,14680.933333333334,12,5,50,2437.7989999999963,2437.7989999999963,-1228.622999999996
2006-12-17,3390.46,226.0059999999994,240.087027777778,14398.59999999998,2033.0,4187.0,13341.0,36946.666666666715,12,6,50,2437.8940000000007,1209.1760000000004,952.5659999999993
2006-12-18,2203.825999999997,161.79199999999966,241.23169444444474,9247.199999999988,1063.0,2621.0,14018.0,19028.433333333334,12,0,51,1833.1549999999997,3390.46,370.6709999999971
2006-12-19,1666.1940000000006,150.94199999999978,241.99931250000026,7094.000000000014,839.0,7602.0,6197.0,13131.899999999996,12,1,51,1971.6300000000017,2203.825999999997,-305.43600000000106
2006-12-20,2225.747999999999,160.99799999999985,242.30806250000026,9312.99999999999,0.0,2648.0,14063.0,20384.800000000014,12,2,51,2031.486999999999,1666.1940000000006,194.2610000000002
2006-12-21,1723.2879999999993,144.43399999999997,241.03917361111075,7266.4000000000015,1765.0,2692.0,10456.0,13808.46666666667,12,3,51,1847.746,2225.747999999999,-124.45800000000077
2006-12-22,2341.3379999999993,186.90600000000026,241.1845486111108,9896.999999999984,3151.0,350.0,11131.0,24390.300000000025,12,4,51,1928.46,1723.2879999999993,412.87799999999925
2006-12-23,4773.385999999999,221.47000000000008,240.13607638888905,20200.400000000005,2669.0,425.0,14726.0,61736.433333333356,12,5,51,2437.7989999999963,2341.3379999999993,2335.5870000000023
2006-12-24,2550.012000000007,149.8999999999999,241.6874375000003,11002.200000000104,1703.0,5082.0,6891.0,28824.200000000004,12,6,51,2437.8940000000007,4773.385999999999,112.1180000000063
2006-12-25,2743.120000000005,240.27999999999986,243.3999305555553,11450.199999999983,6620.0,1962.0,5795.0,31341.66666666668,12,0,52,1833.1549999999997,2550.012000000007,909.9650000000051
2006-12-26,3934.11,165.1019999999998,241.6254375,16341.00000000001,1086.0,2533.0,14979.0,46970.5,12,1,52,1971.6300000000017,2743.120000000005,1962.4799999999984
2006-12-27,1528.7600000000007,178.90200000000007,243.7673611111116,6505.199999999999,0.0,314.0,6976.0,18189.333333333376,12,2,52,2031.486999999999,3934.11,-502.72699999999827
2006-12-28,2072.638,208.87599999999992,243.2683333333333,8764.2,2207.0,4419.0,9176.0,18741.966666666678,12,3,52,1847.746,1528.7600000000007,224.89199999999983
2006-12-29,3174.391999999997,196.39400000000026,240.8713055555556,13350.79999999996,1252.0,5162.0,11329.0,35163.53333333333,12,4,52,1928.46,2072.638,1245.931999999997
2006-12-30,2796.108000000001,312.1419999999997,240.5396874999997,11952.599999999964,3072.0,7893.0,12516.0,23120.80000000005,12,5,52,2437.7989999999963,3174.391999999997,358.30900000000474
2006-12-31,3494.1959999999995,150.85200000000015,239.8965763888888,14687.4,0.0,347.0,6502.0,51387.60000000006,12,6,52,2437.8940000000007,2796.108000000001,1056.3019999999988
2007-01-01,2749.004000000016,148.16599999999985,240.12897916666682,11400.40000000004,0.0,352.0,5880.0,39584.73333333333,1,0,1,1881.0980000000013,3494.1959999999995,867.9060000000145
2007-01-02,1269.2360000000006,190.34200000000052,241.94377777777763,5348.200000000002,0.0,348.0,6562.0,14243.933333333312,1,1,1,2019.673000000001,2749.004000000016,-750.4370000000004
2007-01-03,1014.0540000000003,196.7280000000004,243.557090277778,4340.199999999989,0.0,344.0,4765.0,11791.899999999992,1,2,1,2038.0340000000015,1269.2360000000006,-1023.9800000000012
2007-01-04,3259.4119999999907,202.30199999999985,239.75029861111113,13648.6,1051.0,7597.0,10896.0,34779.53333333334,1,3,1,1707.2319999999986,1014.0540000000003,1552.179999999992
2007-01-05,2713.3639999999928,173.15399999999974,240.4957638888888,11354.600000000008,1483.0,379.0,7602.0,35758.733333333366,1,4,1,1984.7869999999996,3259.4119999999907,728.5769999999932
2007-01-06,1508.3779999999995,192.18799999999942,239.6730555555553,6543.1999999999925,1336.0,402.0,5678.0,17723.633333333302,1,5,1,2268.835000000002,2713.3639999999928,-760.4570000000024
2007-01-07,2447.620000000002,246.07400000000027,240.9024861111112,10487.000000000013,1987.0,8177.0,12810.0,17819.666666666668,1,6,1,2381.765999999999,1508.3779999999995,65.854000000003
2007-01-08,2241.3599999999974,207.5680000000003,239.576951388889,9434.40000000002,0.0,467.0,17547.0,19342.000000000036,1,0,2,1881.0980000000013,2447.620000000002,360.2619999999961
2007-01-09,1869.0539999999992,207.24800000000027,240.48752083333318,7950.399999999991,1688.0,4267.0,9790.0,15405.9,1,1,2,2019.673000000001,2241.3599999999974,-150.61900000000173
2007-01-10,2154.799999999996,228.4519999999994,241.02745138888903,9155.200000000015,771.0,4456.0,11012.0,19674.333333333307,1,2,2,2038.0340000000015,1869.0539999999992,116.76599999999462
2007-01-11,2255.1940000000004,230.02,241.1556874999998,9587.999999999984,1378.0,2170.0,12415.0,21623.56666666669,1,3,2,1707.2319999999986,2154.799999999996,547.9620000000018
2007-01-12,1461.2960000000026,199.14000000000007,241.53820833333373,6205.199999999999,0.0,439.0,8276.0,15639.933333333334,1,4,2,1984.7869999999996,2255.1940000000004,-523.490999999997
2007-01-13,3186.813999999998,290.7359999999997,239.283611111111,13612.400000000007,7806.0,2975.0,11341.0,30991.56666666668,1,5,2,2268.835000000002,1461.2960000000026,917.9789999999962
2007-01-14,3009.441999999998,227.27800000000008,238.82255555555562,12912.200000000012,1777.0,4215.0,12975.0,31190.36666666665,1,6,2,2381.765999999999,3186.813999999998,627.675999999999
2007-01-15,2148.677999999998,174.86000000000038,241.24090972222228,9016.600000000002,1099.0,2239.0,15163.0,17310.299999999992,1,0,3,1881.0980000000013,3009.441999999998,267.57999999999674
2007-01-16,1686.4039999999998,185.42799999999988,241.9447569444445,7165.400000000002,2063.0,644.0,6583.0,18816.73333333334,1,1,3,2019.673000000001,2148.677999999998,-333.26900000000114
2007-01-17,2847.6879999999987,200.75199999999992,241.00524999999982,11928.799999999974,3500.0,5737.0,16064.0,22160.46666666664,1,2,3,2038.0340000000015,1686.4039999999998,809.6539999999973
2007-01-18,1821.4620000000007,177.71199999999988,240.89359722222252,7693.19999999997,0.0,336.0,13491.0,16530.699999999983,1,3,3,1707.2319999999986,2847.6879999999987,114.23000000000206
2007-01-19,1480.4400000000028,170.0520000000004,240.16094444444423,6301.799999999997,2103.0,330.0,7172.0,15069.000000000022,1,4,3,1984.7869999999996,1821.4620000000007,-504.3469999999968
2007-01-20,3133.7319999999963,238.3620000000003,238.8674722222224,13461.199999999973,4324.0,5222.0,11440.0,31242.866666666694,1,5,3,2268.835000000002,1480.4400000000028,864.8969999999945
2007-01-21,3407.2619999999984,229.73600000000042,238.9681180555557,14674.600000000013,10346.0,5567.0,11599.0,29275.69999999996,1,6,3,2381.765999999999,3133.7319999999963,1025.4959999999992
2007-01-22,2180.494,168.64200000000025,241.60313194444416,9151.59999999996,1054.0,2983.0,11361.0,20943.566666666684,1,0,4,1881.0980000000013,3407.2619999999984,299.3959999999988
2007-01-23,1777.6400000000006,138.27999999999986,242.76255555555542,7575.6000000000395,0.0,1064.0,5061.0,23502.33333333339,1,1,4,2019.673000000001,2180.494,-242.03300000000036
2007-01-24,2987.853999999998,178.0600000000001,241.4576944444444,12576.400000000005,3464.0,2480.0,11744.0,32109.566666666626,1,2,4,2038.0340000000015,1777.6400000000006,949.8199999999965
2007-01-25,1596.3439999999975,144.16000000000003,243.4243611111111,6666.199999999996,1158.0,262.0,11239.0,13946.733333333344,1,3,4,1707.2319999999986,2987.853999999998,-110.88800000000106
2007-01-26,1617.9719999999982,142.9019999999999,242.7717916666665,6798.800000000011,1163.0,261.0,8238.0,17304.200000000008,1,4,4,1984.7869999999996,1596.3439999999975,-366.8150000000014
2007-01-27,2044.0720000000006,148.2420000000001,241.61656944444428,8567.800000000025,1170.0,3896.0,12374.0,16627.866666666676,1,5,4,2268.835000000002,1617.9719999999982,-224.76300000000128
2007-01-28,3091.587999999989,153.42599999999987,240.30504166666591,13148.999999999998,3466.0,3998.0,12063.0,31999.46666666664,1,6,4,2381.765999999999,2044.0720000000006,709.8219999999897
2007-01-29,1982.664,165.69599999999986,240.92959722222267,8336.000000000004,1123.0,294.0,15254.0,16373.399999999987,1,0,5,1881.0980000000013,3091.587999999989,101.56599999999867
2007-01-30,1707.7979999999984,180.9340000000003,241.84087500000007,7240.600000000002,1123.0,1424.0,8149.0,17767.300000000007,1,1,5,2019.673000000001,1982.664,-311.8750000000025
2007-01-31,2363.752000000001,185.98800000000043,239.92113194444457,9969.999999999998,0.0,5950.0,15052.0,18393.86666666665,1,2,5,2038.0340000000015,1707.7979999999984,325.7179999999994
2007-02-01,1824.76,150.2639999999999,240.3921388888889,7678.7999999999765,1170.0,386.0,13145.0,15711.666666666662,2,3,5,1705.1220000000012,2363.752000000001,119.63799999999878
2007-02-02,1667.7359999999976,139.54200000000006,240.3343888888891,7013.999999999979,0.0,356.0,11338.0,16101.599999999988,2,4,5,1880.736,1824.76,-213.0000000000025
2007-02-03,4029.7219999999957,245.82400000000007,238.91019444444458,17015.000000000022,4746.0,4573.0,17834.0,40009.03333333337,2,5,5,2218.8830000000025,1667.7359999999976,1810.8389999999931
2007-02-04,3595.9400000000023,186.49400000000026,239.6333333333328,15214.199999999995,3391.0,4597.0,14472.0,37472.333333333314,2,6,5,2014.5140000000008,4029.7219999999957,1581.4260000000015
2007-02-05,1645.2799999999993,147.22799999999984,240.8103125,6941.400000000002,896.0,2564.0,7849.0,16112.333333333325,2,0,6,1668.6479999999992,3595.9400000000023,-23.367999999999938
2007-02-06,1273.4800000000005,142.566,241.2641597222219,5431.6000000000095,1185.0,405.0,4517.0,15117.666666666672,2,1,6,1833.072999999998,1645.2799999999993,-559.5929999999976
2007-02-07,2328.018000000001,177.70800000000034,241.14969444444446,9780.000000000004,3299.0,3513.0,11986.0,20002.300000000014,2,2,6,2000.7189999999991,1273.4800000000005,327.2990000000018
2007-02-08,1801.4140000000002,138.89600000000024,241.79730555555557,7557.59999999998,2226.0,366.0,10157.0,17274.56666666667,2,3,6,1705.1220000000012,2328.018000000001,96.291999999999
2007-02-09,1620.198000000001,158.0660000000001,241.7404444444446,6807.199999999995,0.0,3045.0,9770.0,14188.299999999996,2,4,6,1880.736,1801.4140000000002,-260.5379999999991
2007-02-10,2829.3279999999995,192.97399999999973,240.03682638888836,11957.399999999992,5071.0,2831.0,14405.0,24848.466666666664,2,5,6,2218.8830000000025,1620.198000000001,610.444999999997
2007-02-11,3571.2279999999987,204.3140000000003,239.50614583333302,15158.59999999998,2430.0,4765.0,13114.0,39211.466666666696,2,6,6,2014.5140000000008,2829.3279999999995,1556.713999999998
2007-02-12,1877.6100000000006,136.7039999999999,240.09849999999992,7924.999999999995,2227.0,399.0,11517.0,17150.500000000007,2,0,7,1668.6479999999992,3571.2279999999987,208.96200000000135
2007-02-13,1414.5460000000005,134.67799999999968,241.16685416666644,5967.000000000006,0.0,2828.0,6256.0,14491.766666666686,2,1,7,1833.072999999998,1877.6100000000006,-418.52699999999754
2007-02-14,2498.671999999997,202.5060000000002,240.3753888888889,10533.80000000001,3295.0,3793.0,11579.0,22977.53333333336,2,2,7,2000.7189999999991,1414.5460000000005,497.9529999999977
2007-02-15,1985.3459999999975,165.9639999999999,240.6692222222218,8381.200000000003,0.0,2363.0,14028.0,16698.099999999977,2,3,7,1705.1220000000012,2498.671999999997,280.2239999999963
2007-02-16,1702.5279999999975,151.6859999999999,240.82094444444454,7266.999999999954,1148.0,859.0,8689.0,17679.46666666663,2,4,7,1880.736,1985.3459999999975,-178.20800000000258
2007-02-17,2076.9120000000025,238.9680000000004,239.31603472222199,8826.000000000005,1765.0,2226.0,7157.0,23467.200000000004,2,5,7,2218.8830000000025,1702.5279999999975,-141.971
2007-02-18,3829.7620000000065,255.52200000000042,239.170805555556,16183.999999999969,6107.0,8003.0,13129.0,36590.366666666756,2,6,7,2014.5140000000008,2076.9120000000025,1815.2480000000057
2007-02-19,2186.6139999999978,176.58400000000003,239.78958333333352,9276.800000000014,1634.0,2900.0,13085.0,18824.566666666648,2,0,8,1668.6479999999992,3829.7620000000065,517.9659999999985
2007-02-20,3149.9280000000044,187.1579999999996,239.86544444444462,13202.600000000071,2058.0,5191.0,9713.0,35536.79999999995,2,1,8,1833.072999999998,2186.6139999999978,1316.8550000000064
2007-02-21,2072.8740000000025,189.87000000000026,240.46096527777715,8747.199999999999,3527.0,2332.0,11548.0,17140.899999999972,2,2,8,2000.7189999999991,3149.9280000000044,72.15500000000338
2007-02-22,3374.3559999999957,138.45999999999978,238.63098611111062,14214.199999999963,1411.0,4132.0,12287.0,38409.26666666662,2,3,8,1705.1220000000012,2072.8740000000025,1669.2339999999945
2007-02-23,1313.4800000000025,149.34400000000005,240.68596527777737,5508.59999999993,0.0,503.0,10786.0,10602.333333333325,2,4,8,1880.736,3374.3559999999957,-567.2559999999976
