datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4
2006-12-16,1209.1760000000006,34.921999999999976,236.24376262626276,5180.8000000000075,0.0,546.0,4926.0,14680.933333333334
2006-12-17,3390.46,226.0059999999994,240.08702777777793,14398.59999999998,2033.0,4187.0,13341.0,36946.666666666715
2006-12-18,2203.8259999999964,161.79199999999966,241.23169444444474,9247.199999999988,1063.0,2621.0,14018.0,19028.433333333334
2006-12-19,1666.1940000000006,150.94199999999978,241.99931250000026,7094.000000000014,839.0,7602.0,6197.0,13131.899999999996
2006-12-20,2225.747999999999,160.99799999999985,242.30806250000026,9312.999999999993,0.0,2648.0,14063.0,20384.800000000014
2006-12-21,1723.2879999999993,144.43399999999997,241.03917361111073,7266.400000000001,1765.0,2692.0,10456.0,13808.46666666667
2006-12-22,2341.3379999999993,186.90600000000023,241.18454861111076,9896.999999999984,3151.0,350.0,11131.0,24390.300000000025
2006-12-23,4773.385999999998,221.4700000000001,240.13607638888902,20200.400000000005,2669.0,425.0,14726.0,61736.433333333356
2006-12-24,2550.012000000007,149.89999999999992,241.6874375000003,11002.200000000104,1703.0,5082.0,6891.0,28824.200000000004
2006-12-25,2743.1200000000053,240.27999999999986,243.3999305555553,11450.199999999984,6620.0,1962.0,5795.0,31341.66666666668
2006-12-26,3934.11,165.1019999999998,241.6254375,16341.00000000001,1086.0,2533.0,14979.0,46970.5
2006-12-27,1528.7600000000004,178.90200000000007,243.7673611111116,6505.199999999999,0.0,314.0,6976.0,18189.333333333376
2006-12-28,2072.638,208.8759999999999,243.26833333333332,8764.2,2207.0,4419.0,9176.0,18741.966666666678
2006-12-29,3174.3919999999966,196.39400000000023,240.87130555555564,13350.79999999996,1252.0,5162.0,11329.0,35163.533333333326
2006-12-30,2796.108000000001,312.1419999999997,240.5396874999997,11952.599999999964,3072.0,7893.0,12516.0,23120.800000000047
2006-12-31,3494.1959999999995,150.85200000000012,239.8965763888888,14687.400000000001,0.0,347.0,6502.0,51387.60000000006
2007-01-01,2749.004000000016,148.16599999999983,240.12897916666685,11400.400000000038,0.0,352.0,5880.0,39584.73333333333
2007-01-02,1269.2360000000006,190.34200000000055,241.94377777777765,5348.200000000001,0.0,348.0,6562.0,14243.933333333314
2007-01-03,1014.0540000000005,196.7280000000004,243.557090277778,4340.199999999989,0.0,344.0,4765.0,11791.899999999992
2007-01-04,3259.4119999999907,202.30199999999982,239.75029861111113,13648.6,1051.0,7597.0,10896.0,34779.53333333334
2007-01-05,2713.3639999999928,173.15399999999977,240.49576388888877,11354.600000000008,1483.0,379.0,7602.0,35758.733333333366
2007-01-06,1508.3779999999997,192.18799999999942,239.6730555555553,6543.199999999993,1336.0,402.0,5678.0,17723.6333333333
2007-01-07,2447.620000000002,246.07400000000024,240.90248611111122,10487.000000000013,1987.0,8177.0,12810.0,17819.666666666668
2007-01-08,2241.3599999999974,207.5680000000003,239.576951388889,9434.400000000021,0.0,467.0,17547.0,19342.000000000033
2007-01-09,1869.053999999999,207.24800000000027,240.48752083333315,7950.399999999991,1688.0,4267.0,9790.0,15405.900000000001
2007-01-10,2154.799999999996,228.45199999999937,241.02745138888903,9155.200000000015,771.0,4456.0,11012.0,19674.333333333307
2007-01-11,2255.1940000000004,230.01999999999998,241.1556874999998,9587.999999999984,1378.0,2170.0,12415.0,21623.56666666669
2007-01-12,1461.2960000000023,199.14000000000007,241.53820833333376,6205.199999999999,0.0,439.0,8276.0,15639.933333333334
2007-01-13,3186.813999999998,290.7359999999997,239.28361111111101,13612.400000000007,7806.0,2975.0,11341.0,30991.566666666677
2007-01-14,3009.441999999998,227.27800000000008,238.8225555555556,12912.200000000012,1777.0,4215.0,12975.0,31190.36666666665
2007-01-15,2148.677999999998,174.86000000000035,241.24090972222228,9016.600000000002,1099.0,2239.0,15163.0,17310.299999999992
2007-01-16,1686.4039999999998,185.42799999999988,241.9447569444445,7165.4000000000015,2063.0,644.0,6583.0,18816.73333333334
2007-01-17,2847.687999999999,200.75199999999992,241.0052499999998,11928.799999999974,3500.0,5737.0,16064.0,22160.466666666638
2007-01-18,1821.4620000000011,177.71199999999988,240.8935972222225,7693.199999999969,0.0,336.0,13491.0,16530.699999999983
2007-01-19,1480.4400000000028,170.05200000000036,240.16094444444425,6301.799999999997,2103.0,330.0,7172.0,15069.000000000022
